TimeStamp,Partida V115,Estado Bombeo Semi V115,SP Semi V115,Estado Bombeo Receta V115,SP Receta V115,Consumo V115,Partida D122,Estado Bombeo Semi D122,SP Semi D122,Estado Bombeo Receta D122,SP Receta D122,Consumo D122,Partida V131,Estado Bombeo Semi V131,SP Semi V131,Estado Bombeo Receta V131,SP Receta V131,Consumo V131,Partida V141,Estado Bombeo Semi V141,SP Semi V141,Estado Bombeo Receta V141,SP Receta V141,Consumo V141,Partida V221,Estado Bombeo Semi V221,SP Semi V221,Estado Bombeo Receta V221,SP Receta V221,Consumo V221,Partida V241,Estado Bombeo Semi V241,SP Semi V241,Estado Bombeo Receta V241,SP Receta V241,Consumo V241
2024-10-20 00:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 01:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 02:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 03:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 04:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 05:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 06:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 07:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 08:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 09:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 10:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 11:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 12:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 13:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 14:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 15:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
2024-10-20 16:00:00,12345678,-1,5,-1,,66.135132,12345678,-1,170,-1,,651.01917,12345678,-1,23,-1,0,1430.2115,,-1,,-1,,2570.2393,,-1,,-1,,338.87561,,-1,,-1,,2290.7273
